,postId,adjusted_job_title_similarity,adjusted_job_industry_similarity,adjusted_company_size,adjusted_job_sector,adjusted_company_culture,adjusted_work_model,adjusted_salary_expectation,adjusted_role_type,descriptions_similarity_to_resume_norm,adjusted_distance_score,pay_average_norm
118,79204594,0.67604303,0.3721153,-1.5,1,0.39578292,1,0.19198708,0.6666666666666667,0.5659644,0.5264213239339337,0.4475606844539122
119,79208000,0.66560876,0.3721153,-1.5,1,0.59940594,1,0.42527202,0.6666666666666667,0.5775987,0.5264213239339337,0.001586854542777759
120,79210315,0.5533468,0.3721153,-1.5,1,0.6100855,0,0.25008142,0.6666666666666667,0.5430098,0.5264213239339337,0.0018819006469991714
121,79212067,0.14213035,0.3721153,-1.5,1,0.43448347,0,0.6353041,0.6666666666666667,0.35239887,0.5264213239339337,0.4475606844539122
122,79218965,0.48292887,0.3721153,-1.5,1,0.35906595,1,0.2608764,0.6666666666666667,0.41411132,0.4769331052653477,0.4475606844539122
123,79220768,0.2774297,0.3721153,-1.5,1,0.32146662,1,0.12705392,0.6666666666666667,0.3528332,0.5264213239339337,0.001586854542777759
124,79224899,0.38234782,0.3721153,-1.5,1,0.51470953,0,0.5525008,0.6666666666666667,0.3770752,0.5264213239339337,0.4475606844539122
125,79233959,0.41473448,0.3721153,-1.5,1,0.29449368,1,0.3379252,0.6666666666666667,0.2135368,0.5264213239339337,0.4475606844539122
126,79240873,0.7789563,0.3721153,-1.5,1,0.686216,1,0.8341295,0.6666666666666667,0.09777218,0.5264213239339337,0.4475606844539122
127,79254629,0.29837307,0.3721153,-1.5,1,0.44870657,1,0.40017614,0.6666666666666667,0.42820078,0.13073092424096813,0.002632527616824228
128,79257106,0.6784981,0.3601424,-1.5,1,0.547683,1,0.33302253,0.6666666666666667,0.73212665,0.5264213239339337,0.4475606844539122
129,79266730,0.14213035,0.3721153,-1.5,1,0.87008286,1,0.58839715,0.6666666666666667,0.4416123,0.4769331052653477,0.4475606844539122
130,79280505,0.7450762,0.3721153,-1.5,1,0.34257466,1,0.3349891,0.6666666666666667,0.5998708,0.13073092424096813,0.4475606844539122
131,79282299,0.5689223,0.3721153,-1.5,1,0.9485972,1,0.42574474,0.6666666666666667,0.6123269,0.0,0.4475606844539122
132,79284128,0.4128348,0.3721153,-1.5,1,0.49564314,1,0.45646706,0.6666666666666667,0.50577295,0.5264213239339337,0.4475606844539122
133,79286516,0.6648171,0.3721153,-1.5,1,0.3560945,1,0.48650688,0.6666666666666667,0.5590157,0.5264213239339337,0.4475606844539122
134,79295265,1.0,0.3721153,-1.5,1,0.27857444,1,0.4549759,0.6666666666666667,0.72199935,0.5264213239339337,0.4475606844539122
135,79299068,0.6378061,0.3721153,-1.5,1,0.3558879,1,0.44936362,0.6666666666666667,0.7678203,0.5264213239339337,0.4475606844539122
136,79329351,0.40568426,0.3721153,-1.5,1,0.30123392,1,0.42173794,0.6666666666666667,0.35521972,0.5264213239339337,0.4475606844539122
137,79344507,0.7681298,0.3721153,-1.5,1,0.40903023,1,0.4745898,0.6666666666666667,0.57780385,0.5264213239339337,0.4475606844539122
138,79346476,0.48344815,0.3721153,-1.5,1,0.50835186,1,0.55513746,0.6666666666666667,0.672139,0.5264213239339337,0.4475606844539122
139,79352469,0.46920556,0.3721153,-1.5,1,0.5873118,1,0.18759553,0.6666666666666667,0.6196508,0.0,0.4475606844539122
